CustomerKey,CustomerName,State,Channel,ChurnDate
2001,Account 2001,VIC,Convenience,
2002,Account 2002, WA ,Independent Grocer,
2003,Account 2003,TAS,Independent Grocer,
2004,Account 2004,WA,Independent Grocer,
2005,Account 2005, QLD ,Cafe / Food Service,2025-11-05
2006,Account 2006,QLD,Independent Grocer,
2007,Account 2007,NSW,Cafe / Food Service,2026-03-26
2008,Account 2008,TAS,Convenience,2026-03-25
2009,Account 2009,QLD,Convenience,2025-11-30
2010,Account 2010,SA,Independent Grocer,
2011,Account 2011,VIC,Cafe / Food Service,
2012,Account 2012,QLD,Convenience,
2013,Account 2013,VIC,Convenience,
2014,Account 2014,NSW,Independent Grocer,2025-05-14
2015,Account 2015,nsw,Convenience,
2016,Account 2016,QLD,Convenience,
2017,Account 2017,NSW,Online Retail,
2018,Account 2018,QLD,Cafe / Food Service,
2019,Account 2019,NSW,Convenience,
2020,Account 2020,SA,Independent Grocer,2025-09-22
2021,Account 2021,VIC,Online Retail,
2022,Account 2022,VIC,Cafe / Food Service,
2023,Account 2023,VIC,Independent Grocer,
2024,Account 2024,VIC,Online Retail,2025-04-11
2025,Account 2025,NSW,Convenience,
2026,Account 2026,NSW,Convenience,
2027,Account 2027,NSW,Independent Grocer,
2028,Account 2028,VIC,Independent Grocer,2025-06-06
2029,Account 2029,NSW,Independent Grocer,2026-04-08
2030,Account 2030,NSW,Online Retail,
2031,Account 2031,WA,Independent Grocer,
2032,Account 2032,NSW,Online Retail,
2033,Account 2033,NSW,Online Retail,
2034,Account 2034,NSW,Independent Grocer,
2035,Account 2035,QLD,Cafe / Food Service,
2036,Account 2036,TAS,Online Retail,
2037,Account 2037,NSW,Cafe / Food Service,
2038,Account 2038,vic,Cafe / Food Service,
2039,Account 2039,WA,Cafe / Food Service,
2040,Account 2040,NSW,Independent Grocer,2026-04-03
2041,Account 2041,VIC,Independent Grocer,
2042,Account 2042, QLD ,Cafe / Food Service,
2043,Account 2043,WA,Independent Grocer,2025-05-15
2044,Account 2044,NSW,Independent Grocer,2025-12-06
