SalesOrderID,OrderDate,ProductKey,CustomerKey,Quantity,UnitPrice,UnitCost,DiscountPct,LineType
510499,2025-01-26,1028,2121,48,6.9,3.738,0.0,Sale
521950,2026-01-06,1020,2055,6,6.15,2.441,0.3,Sale
521132,2025-12-15,1014,2175,12,10.4,7.485,0.25,Sale
515910,2025-06-27,1008,2172,6,6.39,3.739,0.3,Sale
505114,2024-05-22,1025,2087,48,2.8,1.431,0.0,Sale
520465,2025-11-28,1003,2100,12,3.39,1.56,0.0,Sale
509034,2024-12-07,1006,2174,12,7.72,4.476,0.25,Sale
526255,2026-05-07,1001,2053,48,5.2,2.571,0.1,Sale
510776,2025-02-05,1010,2036,24,5.25,2.439,,Sale
520228,2025-11-21,1003,2059,6,3.39,1.55,0.0,Sale
504197,2024-04-09,1014,2093,6,9.8,6.938,0.0,Sale
501594,2023-11-18,1023,2048,6,18.5,11.576,0.05,Sale
504173,2024-04-08,1029,2167,24,11.4,7.324,0.0,Sale
526087,2026-05-03,1019,2017,6,9.97,4.967,0.05,Sale
509498,2024-12-19,1026,2110,24,5.56,3.343,0.2,Sale
516524,2025-07-14,1005,2036,24,4.56,2.806,0.0,Sale
518482,2025-09-18,1028,2147,12,7.11,3.956,0.0,Sale
514511,2025-05-26,1015,2123,6,7.62,4.372,0.15,Sale
527962,2026-06-22,1024,2068,12,14.75,9.595,0.15,Sale
508071,2024-10-25,1020,2095,12,5.97,2.165,0.1,Sale
524717,2026-03-23,1011,2035,24,9.44,6.019,0.0,Sale
506398,2024-07-17,1005,2087,12,4.43,2.648,0.0,Sale
527582,2026-06-15,1008,2173,48,6.58,3.833,0.15,Sale
517105,2025-08-01,1024,2125,12,14.75,9.525,0.0,Sale
514000,2025-05-12,1000,2076,6,2.47,1.162,0.0,Sale
510779,2025-02-06,1005,2106,48,4.43,2.791,0.0,Sale
503678,2024-03-14,1015,2139,12,7.4,,0.0,Sale
520702,2025-12-04,1003,2057,6,3.39,1.556,0.15,Sale
525874,2026-04-26,1027,2088,12,2.02,1.214,0.0,Sale
504697,2024-05-02,1029,2119,12,11.4,7.13,0.0,Sale
521257,2025-12-17,1008,2137,6,6.58,3.873,,Sale
516899,2025-07-27,1017,2057,12,5.2,2.829,0.1,Sale
523036,2026-02-05,1009,2030,12,4.67,2.035,0.0,Sale
509822,2025-01-02,1012,2085,12,14.94,9.666,0.15,Sale
509756,2025-01-01,1014,2041,6,10.09,6.746,0.15,Sale
517504,2025-08-15,1019,2133,6,9.97,4.737,0.0,Sale
516574,2025-07-16,1000,2018,12,2.55,1.159,0.15,Sale
520407,2025-11-27,1023,2034,12,19.63,12.404,0.2,Sale
522104,2026-01-08,1001,2117,24,5.2,2.627,0.0,Sale
515912,2025-06-27,1026,2018,24,5.56,3.48,0.15,Sale
513413,2025-04-25,1026,2111,12,5.56,3.505,0.2,Sale
525825,2026-04-24,1002,2118,12,5.94,3.561,0.0,Sale
514210,2025-05-17,1000,2025,24,2.47,1.165,0.0,Sale
512169,2025-03-20,1012,2168,12,14.94,9.733,0.0,Sale
525277,2026-04-09,1019,2068,12,9.97,4.809,0.0,Sale
502906,2024-02-04,1021,2143,24,16.9,9.037,0.0,Sale
500265,2023-07-21,1025,2035,12,2.8,1.371,0.0,Sale
508933,2024-12-05,1006,2013,6,7.72,4.508,0.25,Sale
527749,2026-06-18,1008,2161,24,6.58,3.986,0.15,Sale
520056,2025-11-14,1021,2103,24,17.93,9.805,0.05,Sale
512028,2025-03-17,1005,2069,6,4.43,2.843,0.0,Sale
510162,2025-01-13,1017,2172,12,5.05,2.809,0.0,Sale
519457,2025-10-24,1010,2144,12,5.41,2.66,0.0,Sale
514599,2025-05-28,1015,2161,24,7.62,4.508,0.15,Sale
515773,2025-06-24,1010,2119,12,5.25,2.6,0.15,Sale
502914,2024-02-05,1029,2164,12,11.4,7.305,0.1,Sale
519794,2025-11-05,1021,2125,12,17.93,9.671,0.0,Sale
512850,2025-04-09,1009,2032,6,4.53,1.966,0.0,Sale
512048,2025-03-17,1001,2032,6,5.05,2.506,0.0,Sale
522731,2026-01-26,1006,2069,24,7.96,4.777,0.0,Sale
508920,2024-12-04,1023,2166,24,19.06,12.036,0.15,Sale
524988,2026-03-31,1006,2034,24,7.96,4.729,0.0,Sale
513313,2025-04-23,1008,2082,12,6.39,3.746,0.0,Sale
516565,2025-07-15,1004,2025,6,4.14,1.662,0.05,Sale
526885,2026-05-26,1022,2063,12,9.12,4.441,,Sale
515434,2025-06-18,1014,2036,6,10.09,7.212,0.3,Sale
518280,2025-09-11,1010,2125,12,5.41,2.604,0.05,Sale
500163,2023-07-13,1005,2169,6,4.3,2.596,0.15,Sale
502692,2024-01-22,1021,2170,12,16.9,9.357,0.1,Sale
507490,2024-09-23,1025,2122,12,2.88,1.444,0.0,Sale
516011,2025-06-29,1020,2154,6,5.97,2.329,0.15,Sale
500308,2023-07-26,1006,2003,12,7.5,4.143,,Sale
524012,2026-03-04,1005,2092,24,4.56,2.902,0.0,Sale
503076,2024-02-14,1026,2168,6,5.4,3.222,0.0,Sale
500541,2023-08-15,1014,2121,12,9.8,6.517,,Sale
522869,2026-01-30,1028,2032,24,7.11,3.76,0.0,Sale
526115,2026-05-04,1007,2036,6,3.29,1.467,0.0,Sale
515075,2025-06-11,1017,2147,12,5.05,2.999,0.25,Sale
505085,2024-05-20,1020,2161,12,5.8,2.195,0.0,Sale
506801,2024-08-10,1025,2163,12,2.88,1.451,0.0,Sale
510812,2025-02-07,1006,2130,12,7.72,4.623,0.15,Sale
513148,2025-04-17,1005,2157,12,4.43,2.889,0.0,Sale
522899,2026-01-31,1001,2116,12,5.2,2.635,0.0,Sale
503294,2024-02-25,1007,2029,6,3.1,1.305,0.0,Sale
527590,2026-06-15,1007,2032,12,3.29,1.535,0.15,Sale
513428,2025-04-25,1028,2147,48,6.9,3.784,0.15,Sale
510675,2025-02-02,1013,2087,24,4.33,2.173,0.0,Sale
519339,2025-10-20,1010,2159,48,5.41,2.567,0.0,Sale
507828,2024-10-13,1005,2176,24,4.43,2.811,0.0,Sale
524772,2026-03-25,1027,2101,6,2.02,1.174,0.0,Sale
518729,2025-09-27,1017,2098,6,5.2,2.994,0.0,Sale
522673,2026-01-25,1003,2114,12,3.39,1.568,0.0,Sale
517543,2025-08-17,1006,2091,12,7.96,4.51,0.0,Sale
517812,2025-08-27,1023,2154,12,19.63,12.09,0.1,Sale
504493,2024-04-23,1013,2019,48,4.2,2.104,0.0,Sale
500886,2023-09-13,1014,2042,48,9.8,6.355,0.1,Sale
527120,2026-06-03,1009,2168,24,4.67,2.028,0.0,Sale
507991,2024-10-21,1024,2065,12,14.32,8.956,0.0,Sale
526511,2026-05-15,1011,2052,24,9.44,6.3,0.0,Sale
522611,2026-01-23,1027,2101,12,2.02,1.215,0.15,Sale
513173,2025-04-18,1006,2100,12,7.72,4.56,0.0,Sale
508770,2024-11-30,1022,2019,12,8.86,4.098,0.0,Sale
507613,2024-09-30,1015,2152,6,7.62,4.322,0.0,Sale
519205,2025-10-15,1013,2044,6,4.46,2.236,0.0,Sale
516341,2025-07-08,1026,2045,24,5.73,3.476,0.05,Sale
505502,2024-06-11,1006,2065,12,7.5,4.417,0.15,Sale
516548,2025-07-15,1016,2044,12,6.68,3.334,0.0,Sale
502222,2023-12-20,1013,2045,12,4.2,2.116,0.15,Sale
512407,2025-03-27,1018,2024,24,11.54,5.888,0.0,Sale
506466,2024-07-22,1015,2155,12,7.62,4.273,0.05,Sale
506552,2024-07-26,1008,2114,12,6.39,3.575,,Sale
527197,2026-06-05,1020,2177,12,6.15,2.544,0.0,Sale
512795,2025-04-08,1026,2130,12,5.56,3.411,0.0,Sale
506843,2024-08-12,1028,2141,48,6.9,3.642,0.0,Sale
524485,2026-03-16,1001,2068,24,5.2,2.705,0.0,Sale
502883,2024-02-02,1015,2163,48,7.4,4.195,0.0,Sale
520644,2025-12-03,1009,2056,24,4.67,2.082,0.2,Sale
509896,2025-01-05,1011,2115,6,9.17,5.777,0.15,Sale
528319,2026-06-30,1004,2022,6,4.26,1.772,0.15,Sale
